Fire events,Acres
124,7
232,6224
209,1672
249,566
552,3005
932,13570
1016,70255
729,5068
665,6785
493,2410
417,3247
141,2
102,22
117,20
112,17
77,309
248,916
735,14435
1255,41776
936,41127
890,30729
1093,274614
282,244
114,119
100,10
102,30
194,93
393,2490
661,31195
868,4789
926,30070
941,36693
767,21617
398,40073
135,63
89,20
73,5
59,6
89,103
143,354
289,1212
675,17641
897,17091
870,11807
756,12504
583,12578
333,596
141,107
125,17
197,1614
88,10
139,25
429,5163
832,13378
1011,"145,308"
731,5888
610,6826
392,43391
146,900
105,376
135,2
53,0
110,2
148,0
420,5
606,8
703,6
564,12
394,50
253,349
149,0
75,0
32,0
31,0
120,1
305,0
425,9
906,263
551,66
495,7
343,2
283,2
70,30
32,0
48,216
36,1010
51,171
187,429
265,2468
443,4538
593,3457
507,58105
364,4157
233,1454
100,180
31,26
10,3
23,3
37,64
47,21
152,2299
443,6950
571,3929
422,8228
384,2641
247,885
82,367
12,40
42,17
59,69
18,1249
92,178
242,2446
389,5460
609,20524
491,5248
542,12246
200,2787
111,363
261,1302
142,169
112,313
87,140
99,174
327,6984
502,6467
525,16302
448,68709
379,28646
207,928
73,114
21,10
